portion_replicate,portions
25.0% - #1,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #2,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #3,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #4,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #5,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #6,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #7,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #8,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #9,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #10,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #11,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #12,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #13,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #14,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #15,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #16,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #17,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #18,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #19,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #20,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #21,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #22,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #23,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #24,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #25,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #26,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #27,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #28,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #29,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #30,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #31,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #32,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #33,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #34,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #35,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #36,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #37,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #38,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #39,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #40,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #41,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #42,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #43,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #44,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #45,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #46,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #47,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #48,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #49,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #50,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #51,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #52,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
25.0% - #53,"[4, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
